KEY	English	Czech	German	Spanish	Finnish	French	Italian	Japanese	Korean	Dutch	Norwegian	Portuguese	Russian	Swedish	Turkish	Simplified Chinese	Traditional Chinese	Ukrainian	Danish	Thai	Polish	Romanian	Indonesia	Slovakian
abbr	en	cs	de	es	fi	fr	it	ja	ko	nl	nb	pt-BR	ru	sv	tr	zh-Hans	zh-Hant							
mp_description_msg	{0} supports Hybrid Multipoint, allowing you to connect to two devices at the same time. You can view your 4 most recent connections and have the option to reconnect, add, or remove devices.	{0} podporuje Hybrid Multipoint, což vám umožňuje připojit se ke dvěma zařízením současně. Můžete zobrazit 4 poslední připojení a máte možnost zařízení znovu připojit, přidat nebo odebrat.	{0} unterstützt Hybrid Multipoint, sodass Sie gleichzeitig eine Verbindung zu zwei Geräten herstellen können. Sie können Ihre vier letzten Verbindungen anzeigen und haben die Möglichkeit, Geräte erneut zu verbinden, hinzuzufügen oder zu entfernen.	{0} admite la función Multipunto híbrido, permitiéndole conectarse a dos dispositivos al mismo tiempo. Puede ver las 4 conexiones más recientes y tiene la opción de volver a conectarse a dispositivos, agregarlos o quitarlos.	{0} tukee hybridi-monipisteyhteyttä, jolloin voit muodostaa yhteyden kahteen laitteeseen samanaikaisesti. Voit tarkastella neljää viimeisintä yhteyttäsi, ja sinulla on mahdollisuus muodostaa yhteys uudelleen, lisätä tai poistaa laitteita.	{0} prend en charge la connexion multi-appareils hybride (Hybrid Multipoint), ce qui vous permet de vous connecter à deux appareils en même temps. Vous pouvez afficher vos 4 connexions les plus récentes et avez la possibilité de reconnecter, d'ajouter ou de supprimer des appareils.	{0} supporta Multipunto ibrido, che consente di connettersi a due dispositivi contemporaneamente. È possibile visualizzare le 4 connessioni più recenti e avere la possibilità di riconnettersi, aggiungere o rimuovere dispositivi.	{0} はハイブリッドマルチポイント接続に対応しており、2台の機器と同時に接続することができます。ここでは最近接続した4つの機器が表示されており、機器の再接続、追加、削除を行うことができます。	{0} 은(는) Hybrid Multipoint를 지원해, 두 개의 장치를 동시에 연결할 수 있습니다. 최근 4개의 연결을 확인할 수 있으며, 장치 재연결, 추가, 제거 옵션이 있습니다.	{0} ondersteunt Hybride multipunt waarmee u twee apparaten tegelijk kunt aansluiten. U kunt uw 4 recentste verbindingen weergeven en u hebt de optie om apparaten opnieuw aan te sluiten, toe te voegen of te verwijderen.	{0} støtter Hybrid multipunkt slik at du kan koble til to enheter samtidig. Du kan se de 4 siste tilkoblingene og koble til på nytt, legge til eller fjerne enheter.	{0} suporta multiponto híbrido, permitindo-lhe ligar-se a dois dispositivos em simultâneo. Pode visualizar as suas 4 ligações mais recentes e tem a opção de voltar a ligar, adicionar ou remover dispositivos.	{0} поддерживает гибридную многоточечную технологию, позволяющую подключаться к двум устройствам одновременно. Можно просмотреть 4 последних подключения, а также повторно подключить, добавить или удалить устройства.	{0} stödjer Hybrid Multipoint (Hybrid multipunkt), så att du kan ansluta till två enheter samtidigt. Du kan visa dina fyra senaste anslutningar och har möjlighet att välja om du vill återansluta, lägga till eller ta bort enheter.	{0}, aynı anda iki cihaza bağlanmanıza olanak tanıyan Hibrit Çok Noktayı destekler. Son 4 bağlantınızı görüntüleyebilir, yeniden bağlanma, cihaz ekleme veya kaldırma seçeneklerine sahip olabilirsiniz.	{0} 支持多点连接功能，可同时连接两个设备。您可以在此查看最近连接的四个设备，并在此进行设备连接、添加和删除。	{0} 支援多點連接功能，可同時連接兩個裝置。您可以在此查看最近連接的四個裝置，並在此進行裝置連接、新增和刪除。	{0} підтримує Hybrid Multipoint, надаючи можливість одночасно підключатися до двох пристроїв Можна переглянути 4 найновіші підключення і повторно підключити, додати або видалити пристрої.	{0} understøtter Hybrid Multipoint, så du kan oprette forbindelse til to enheder på samme tid. Du kan se de sidste 4 forbindelser, og du kan genoprette forbindelse til enheder, og tilføje eller fjerne enheder.	{0} รองรับคุณสมบัติไฮบริดมัลติพอยต์ ช่วยให้คุณเชื่อมต่อกับอุปกรณ์ 2 เครื่องพร้อมกันได้ คุณสามารถดูการเชื่อมต่อ 4 รายการล่าสุด และมีตัวเลือกสำหรับการเชื่อมต่อใหม่ เพิ่ม หรือลบอุปกรณ์	{0} obsługuje hybrydowy tryb wielopunktowy, co umożliwia nawiązanie połączenia z dwoma urządzeniami jednocześnie. Można wyświetlić 4 ostatnie połączenia i skorzystać z opcji ponownego połączenia, dodania lub usunięcia urządzeń.	{0} acceptă Hybrid Multipoint (Mai multe puncte hibride), ceea ce vă permite să vă conectați la două dispozitive în același timp. Puteți vedea cele mai recente 4 conexiuni și aveți opțiunea de a reconecta, a adăuga sau a elimina dispozitive.	{0} mendukung Hybrid Multipoint, sehingga Anda dapat menyambungkan ke dua perangkat sekaligus. Anda dapat melihat 4 koneksi terbaru Anda dan memiliki opsi untuk menyambungkan kembali, menambah, atau menghapus perangkat.	{0} podporuje hybridný viacbodový, čo vám umožňuje súčasne pripojiť dve zariadenia. Zobraziť môžete 4 najnovšie pripojenia a mať možnosť zariadenia znova pripojiť, pridať alebo odstrániť.
prompt_battery	1. Ensure that the battery levels of your earbuds, charging case, and smartphone are at least 30%.	1. Zkontrolujte, zda úroveň nabití baterie vašich sluchátek, nabíjecího pouzdra a smartphonu je alespoň 30 %.	1. Stellen Sie sicher, dass der Akkustand Ihrer Ohrhörer, Ihres Ladebehälters und Ihres Smartphones mindestens 30% beträgt.	1. Asegúrese de que los niveles de batería de los miniauriculares, del estuche de carga y del teléfono inteligente sean de al menos el 30 %.	1. Varmista, että kuulokkeiden, latauskotelon ja älypuhelimen akun varaustaso on vähintään 30 %.	1. Assurez-vous que les niveaux de batterie de vos écouteurs, du boîtier de charge et du smartphone sont à au moins 30%.	1. Assicurarsi che i livelli di carica della batteria degli auricolari, della custodia di carica e dello smartphone sia almeno del 30%.	1. イヤホン、充電ケース、スマートフォンのバッテリー残量が 30% 以上であることを確認してください。	1. 이어버드, 충전 케이스 및 스마트폰의 배터리 잔량이 30% 이상인지 확인하십시오.	1. Controleer of de batterijniveaus van uw earbuds, laadstation en smartphone minstens 30% bedragen.	1. Sørg for at batterinivået til ørepluggene, ladedekselet og smarttelefonen er minst 30 %.	1. Certifique-se de que os níveis de bateria dos auriculares, da caixa de carregamento e do smartphone são de pelo menos 30%.	1. Убедитесь, что заряд наушников и зарядного чехла составляет не менее 30%.	1. Hörsnäckornas batterinivå, laddningsfodral och smarttelefon måste vara minst 30 %.	1. Kulaklıklarınızın, şarj kutunuzun ve akıllı telefonunuzun pil seviyelerinin en az %30 olduğundan emin olun.	1. 请确认耳机、充电盒与手机电量大于 30%。	1. 請確認耳機、充電盒與手機電量大於 30%。	1. Переконайтеся, що рівень заряду акумулятора навушників, зарядного футляра та смартфона становить щонайменше 30%.	1. Sørg for, at batteriet i dine hovedtelefoner, opladningsetuiet og mobiltelefonen er mindst 30 %.	1. ตรวจสอบว่าระดับแบตเตอรี่ของเอียร์บัด กล่องชาร์จ และสมาร์ทโฟนของคุณอยู่ที่อย่างน้อย 30%	1. Upewnij się, że poziom baterii słuchawek, etui ładującego i smartfona wynosi co najmniej 30%.	1. Asigurați-vă că nivelul bateriei căștilor, al carcasei de încărcare și al telefonului este de cel puțin 30%.	1. Pastikan tingkat daya baterai earbud, casing pengisi daya, dan smartphone Anda minimal 30%.	
prompt_music	2. Turn off music playback.	2. Vypněte přehrávání hudby.	2. Deaktivieren Sie die Musikwiedergabe.	2. Schalten Sie die Musikwiedergabe aus.	2. Sammuta musiikin toisto.	2. Stoppez la lecture de musique.	2. Stoppez la lecture de musique.	2. メディアの再生を停止します。	2. 음악 재생을 끄십시오.	2. Schakel de muziekweergave uit.	2. Slå av musikkavspilling.	2. Interrompa a reprodução de música.	2. Отключите воспроизведение музыки.	2. Stäng av musikuppspelningen.	2. Müzik çalmayı kapatın.	2. 请关闭音乐播放。	2. 請關閉音樂播放。	2. Вимкніть відтворення музики.	2. Stop musikafspilningen.	2. ปิดการเล่นเพลง	2. Wyłącz odtwarzanie muzyki.	2. Opriți redarea muzicii.	2. Nonaktifkan pemutaran musik.	
answer_call	Answer Call	Přijmout hovor	Anruf annehmen	Responder a la llamada	Vastaa puheluun	Répondre à un appel	Rispondi a chiamata	着信応答	전화 받기	Oproep beantwoorden	Besvar anrop	Atender chamada	Ответить на вызов	Svara på samtalet	Aramayı Cevapla	接听通话	接聽通話	Відповісти на дзвінок	Besvar opkald	รับสาย	Odbierz połączenie	Preluare apel	Jawab Panggilan	
apply	Apply	Použít	Übernehmen	Aplicar	Käytä	Appliquer	Applica	適用	적용	Toepassen	Bruk	Aplicar	Применить	Verkställ	Uygula	应用	套用	Застосувати	Anvend	ปรับใช้	Zastosuj	Aplicare	Terapkan	
audio	Audio	Zvuk	Audio	Audio	Audio	Audio	Audio	オーディオ	오디오	Audio	Lyd	Áudio	Звук	Ljud	Ses	音效	音效	Аудіо	Lyd	เสียง	Audio	Audio	Audio	
audio_profile	Audio Profile	Zvukový profil	Audioprofil	Perfil de audio	Ääniprofiili	Profil audio	Profilo audio	オーディオプロファイル	오디오 프로필	Audioprofiel	Lydprofil	Perfil de áudio	Звуковой профиль	Ljudprofil	Ses Profili	音效配置文件	音效設定檔	Профіль аудіо	Lydprofil	โปรไฟล์เสียง	Profil audio	Profil audio	Profil Audio	Zvukový profil
audio_effect_bass_boost	Bass Boost	Zesílení basů	Bass Boost (Bassverstärkung)	Realce de graves	Basson tehostus	Renforcement des basses	Amplificazione bassi	バスブースト	저음 증가	Lage tonen versterken	Bassforsterker	Amplificar graves	Усиление басов	Basförstärkning	Bas Artırma	低音增强	低音增益	Посилення басів	Basforstærkning	การเพิ่มเสียงเบส	Wzmocnienie tonów niskich	Amplificare bas	Peningkat Bass	
